Pin Name,Pin Index,LOC,DRIVE,IOSTANDARD,SLEW,TIG
Digilent_Shared_Mem_Bus_Mux_Mem_Addr_O_pin,19,D17,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_Addr_O_pin,20,G14,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_Addr_O_pin,21,F14,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_Addr_O_pin,22,C18,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_Addr_O_pin,23,C17,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_Addr_O_pin,24,F16,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_Addr_O_pin,25,F15,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,0,T13,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,1,R13,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,2,T14,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,3,V14,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,4,U5,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,5,V5,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,6,R3,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,7,T3,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,8,R5,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,9,N5,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,10,P6,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,11,P12,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,12,U13,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,13,V13,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,14,U10,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,15,R8,2,LVCMOS33,,
Digilent_Shared_Mem_Bus_Mux_Mem_DQ,16,T8,2,LVCMOS33,,
Ethernet_Lite_MDIO,,L6,,LVCMOS33,,
Ethernet_Lite_MDC,,M5,,LVCMOS33,,
Ethernet_Lite_TXD,3,T1,,LVCMOS33,,
Ethernet_Lite_TXD,2,T2,,LVCMOS33,,
Ethernet_Lite_TXD,1,U1,,LVCMOS33,,
Ethernet_Lite_TXD,0,U2,,LVCMOS33,,
Ethernet_Lite_TX_EN,,L2,,LVCMOS33,,
Ethernet_Lite_TX_ER,,P2,,LVCMOS33,,
Ethernet_Lite_TX_CLK,,L5,,LVCMOS33,,
Ethernet_Lite_COL,,P4,,LVCMOS33,,
Ethernet_Lite_RXD,3,M3,,LVCMOS33,,
Ethernet_Lite_RXD,2,N1,,LVCMOS33,,
Ethernet_Lite_RXD,1,N2,,LVCMOS33,,
Ethernet_Lite_RXD,0,P1,,LVCMOS33,,
Ethernet_Lite_RX_ER,,M1,,LVCMOS33,,
Ethernet_Lite_RX_CLK,,H4,,LVCMOS33,,
Ethernet_Lite_CRS,,N3,,LVCMOS33,,
Ethernet_Lite_RX_DV,,L1,,LVCMOS33,,
Ethernet_Lite_PHY_RST_N,,P3,,LVCMOS33,,TIG
ETHERNET_MDIO,,L6,,LVCMOS33,,
ETHERNET_MDC,,M5,,LVCMOS33,,
ETHERNET_TXD,3,T1,,LVCMOS33,,
ETHERNET_TXD,2,T2,,LVCMOS33,,
ETHERNET_TXD,1,U1,,LVCMOS33,,
ETHERNET_TXD,0,U2,,LVCMOS33,,
ETHERNET_TX_EN,,L2,,LVCMOS33,,
ETHERNET_MII_TX_CLK,,L5,,LVCMOS33,,
ETHERNET_RXD,3,M3,,LVCMOS33,,
ETHERNET_RXD,2,N1,,LVCMOS33,,
ETHERNET_RXD,1,N2,,LVCMOS33,,
ETHERNET_RXD,0,P1,,LVCMOS33,,
ETHERNET_RX_ER,,M1,,LVCMOS33,,
ETHERNET_RX_CLK,,H4,,LVCMOS33,,
ETHERNET_RX_DV,,L1,,LVCMOS33,,
ETHERNET_PHY_RST_N,,P3,,LVCMOS33,,TIG
ETHERNET_TX_ER,,P2,,LVCMOS33,,
ETHERNET_CRS,,N3,,LVCMOS33,,
ETHERNET_COL,,P4,,LVCMOS33,,
